d764721a was MohammadH98, 41 seconds ago, message: added link to demo
1b7e9297 was pmheys, 4 days ago, message: Update book icon mapping to use index instead of name so we can have duplicates
1990a61c was pmheys, 4 days ago, message: Moved Homepage to under navbar, added searching functionality from nav bar
330c4bd2 was momaji, 4 days ago, message: Added the navbar
3ad1402b was momaji, 4 days ago, message: added .DS_Store to git ignore
c5438d69 was pmheys, 8 days ago, message: Complete homepage functionality, add additional books to data
8742fcad was pmheys, 9 days ago, message: Move images to different location in project, complete homepage sorting and filtering
fddbc04c was pmheys, 10 days ago, message: Add react-bootstrap, added early homepage functionality
2310b012 was pmheys, 10 days ago, message: Homepage updates, gitignore
df2f6830 was pmheys, 10 days ago, message: update data.js with textbook info
81ce64e5 was pmheys, 11 days ago, message: Update data.js
17a73d80 was pmheys, 11 days ago, message: Adding data, data files, and location for homepage source code
dbe05633 was momaji, 12 days ago, message: Deleting node modules and adding new example page
726bebeb was momaji, 12 days ago, message: changed file order
021cfbbb was momaji, 12 days ago, message: adding engines
8c79521e was momaji, 12 days ago, message: Merge branch 'main' of https://github.com/momaji/texchange into main
1e6bd7d7 was momaji, 12 days ago, message: Initial commit to repo
5d23a180 was momaji, 12 days ago, message: Update README.md
de9c83ee was momaji, 12 days ago, message: Initial commit
